sub_sport_category,description,reference_website,level
Petanque,"This French version of bowls originates in the south of that country (the name derives from the Occitan language spoken in southern France, Monaco, and parts of Italy, where pè tancat means ‘fixed foot’.) Similarly to other types of bowls, the aim is to get as close as you can to a target from a position where you are rooted to the spot. This is great fun to play with a partner and will help develop your coordination and concentration.","https://www.topendsports.com/sport/list/petanque.htm",2
Skiing,"Slaloming down a ski slope (artificial or on a snow-bedecked mountainside) is such a rush. So many romantic weekends consist of getaways to the Alps or Rockies.","https://www.topendsports.com/sport/list/skiing.htm",2
Horse Riding,"What better way to travel than seated astride a horse, ambling along eye-catching countryside? With a partner trotting close by, sports don’t get more relaxing or satisfying.","no reference website",2
Adventure Tourism,"Scuba diving? Exploring places off the beaten track? Canoeing? Paragliding. Choosing to do something carrying more risk than mainstream sports, especially in tandem with someone equally committed to adventure, can be massively rewarding.","no reference website",2
