sub_sport_category,description,reference_website,level
Walking Netball,"a version of netball in which players are only allowed to walk during game play, developed for older people to keep active.","https://www.topendsports.com/sport/list/netball-walking.htm",2
Race Walking,"competitors attempt to outrace one another without running.","https://www.topendsports.com/sport/list/athletics-race-walking.htm",2
Pedestrianism,"a 19th-century form of competitive walking usually over long distances (no longer held).","https://www.topendsports.com/sport/extinct/pedestrianism.htm",2
