sub_sport_category,description,reference_website,level
Olympic Weightlifting,"competitors attempt to lift weights mounted on barbells to above the head.","https://www.topendsports.com/sport/list/weightlifting-olympic.htm",2
Power Lifting,"tests of strength on three lifts: dead lift, bench press and squat.","https://www.topendsports.com/sport/list/power-lifting.htm",2
Weight Throw,"a family of heavy weight throwing events, in which the objective is to either throw the weight as far as possible or as high as possible.","https://www.topendsports.com/sport/list/throw-weight.htm",2
Strongman,"a sport that tests competitors' strength in a variety of different events.","https://www.topendsports.com/sport/list/strongman.htm",2
Hammer throw,"an Olympic track and field event in which a heavy weight at the end of a wire is thrown for distance.","https://www.topendsports.com/sport/list/athletics-hammer-throw.htm",2
Stone Lift or Carry,"involves moving stones as a test of strength.","https://www.topendsports.com/sport/list/stone-lifting.htm",2
Bodybuilding,"participants show their developed muscular build through poses, and are judged based on muscularity, conditioning, and symmetry.","https://www.topendsports.com/sport/list/bodybuilding.htm",2
Kettlebell Lifting,"a weight lifting sport performed with kettlebells, which are heavy weights that resemble a cannonball with a handle.","https://www.topendsports.com/sport/list/weightlifting-kettlebell.htm",2
Crossfit,"a strength and conditioning program involving short but high-intensity workouts comprised of functional exercises.","https://www.topendsports.com/sport/list/crossfit.htm",2
