sub_sport_category,description,reference_website,level
Speedcubing,"players solve single piece 3D puzzles in the quickest time possible.","https://www.topendsports.com/sport/list/speedcubing.htm",2
e-Sports Gaming,"a competitive form of playing computer games (e-sports).","https://www.topendsports.com/sport/list/esports-gaming.htm",2
Poker,"a card game that combines gambling, strategy, and skill. The winner of each hand is determined according to the combinations of players' cards.","https://www.topendsports.com/sport/list/poker.htm",2
Bridge,"a card game that is played by four players, playing in two competing partnerships. Players score points based on the number of tricks achieved.","https://www.topendsports.com/sport/list/bridge.htm",2
Chess,"a strategy board game played by two players on a checkered gameboard with 64 squares arranged in an 8×8 grid.","https://www.topendsports.com/sport/list/chess.htm",2
Chessboxing,"a combination of chess and boxing.","https://www.topendsports.com/sport/list/chess-boxing.htm",2
Memory Sports / competitive memory,"a competition in which the participants ('memory athletes') attempt to memorize the most information that they can, before presenting it back.","https://www.topendsports.com/sport/unusual/memory.htm",2
