sub_sport_category,description,reference_website,level
T20 Cricket,"a fast-paced limited over cricket match played 20 overs per team.","https://www.topendsports.com/sport/list/cricket-t20.htm",2
3x3 Basketball,"a variation of basketball played on a half-court with just three players on each team.","https://www.topendsports.com/sport/list/basketball-3x3.htm",2
Baseball5,"a five-on-five, five-inning street version of the game of baseball/softball that can be played anywhere","https://www.topendsports.com/sport/list/baseball5.htm",2
Sixes Lacrosse,"a new smaller team faster-paced lacrosse format making the sport more accessible.","https://www.topendsports.com/sport/list/lacrosse-sixes.htm",2
Fast5,"a variation of netball, formerly known as Fastnet, with only 5 players per team.","https://www.topendsports.com/sport/list/netball-fast5.htm",2
