sub_sport_category,description,reference_website,level
Basketball,"players attempt to shoot the ball through the hoop on the opponent’s court, moving the ball by throwing and dribbling.","https://www.topendsports.com/sport/list/basketball.htm",2
3x3 Basketball,"a variation of basketball played on a half-court with just three players on each team.","https://www.topendsports.com/sport/list/basketball-3x3.htm",2
Beach Basketball,"a version of basketball played on sand with two teams of three players","https://www.topendsports.com/sport/list/basketball-beach.htm",2
Unicycle Basketball,"a version of Basketball with all competitors riding unicycles. The sport uses a regulation basketball on a regular basketball court with the same rules.","https://www.topendsports.com/sport/list/unicycle-basketball.htm",2
Netball,"a team game with seven players on a side, similar to basketball except that players are restricted to certain sections of the court, and a player receiving the ball must stand still until they have passed it to another player.","https://www.topendsports.com/sport/list/netball.htm",2
Korfball,"a mixed-gender ball sport that is similar to netball and basketball, developed in The Netherlands.","https://www.topendsports.com/sport/list/korfball.htm",2
Water Basketball,"a mix of basketball and water polo played in a swimming pool with basketball goals.","https://www.topendsports.com/sport/list/basketball-water.htm",2
