sub_sport_category,description,reference_website,level
Test Cricket,"the longest form of cricket, played over 5 days.","https://www.topendsports.com/sport/list/cricket-test.htm",2
One Day Cricket,"a form of cricket in which each team's innings is played for a maximum of 50 overs.","https://www.topendsports.com/sport/list/cricket-odi.htm",2
T20 Cricket,"a fast-paced limited over cricket match played 20 overs per team.","https://www.topendsports.com/sport/list/cricket-t20.htm",2
Indoor Cricket,"a modified version of cricket played indoor with nets for walls.","https://www.topendsports.com/sport/list/cricket-indoor.htm",2
Beach Cricket,"a casual, informal version of cricket played on beaches with simplified rules and equipment.","https://www.topendsports.com/sport/list/cricket-beach.htm",2
Blind Cricket,"a modified version of cricket for blind athletes with a larger ball with bells inside.","https://www.topendsports.com/sport/list/cricket-blind.htm",2
Backyard Cricket,"informal version of cricket played in yards or streets.","https://www.topendsports.com/sport/cricket/backyard.htm",2
